StudyID,Age,Gender,StorybookVersion,DelayCondition,Trial,Animal,TrialAccuracy,Begin,End,ReactionTime,Answer,AnswerType,sumaccuracy,trialamount,OverallAccuracy
AMP076,4.838356164,M,3,1,2,bear,1,68683.05,68688.6,4.551626,castle,correct,7,8,0.875
AMP076,4.838356164,M,3,1,3,sheep,1,68695.29,68704.74,8.450589,bowling,correct,7,8,0.875
AMP076,4.838356164,M,3,1,4,monkey,1,68712.9,68717.14,3.236078,subway,correct,7,8,0.875
AMP076,4.838356164,M,3,1,5,cat,1,68725.32,68729.99,3.67449,museum,correct,7,8,0.875
AMP076,4.838356164,M,3,1,6,cow,1,68738.16,68743.84,4.674601,basketball,correct,7,8,0.875
AMP076,4.838356164,M,3,1,7,pig,1,68751.98,68759.66,6.680035,baseball,correct,7,8,0.875
AMP076,4.838356164,M,3,1,8,lion,1,68767.8,68775.56,6.759895,movie,correct,7,8,0.875
AMP051,5.684931507,F,4,1,1,bear,1,72211.67,72217.23,4.55888,museum,correct,8,8,1
AMP051,5.684931507,F,4,1,2,sheep,1,72225.35,72234.99,8.6397099999999991,basketball,correct,8,8,1
AMP051,5.684931507,F,4,1,3,cat,1,72243.09,72247.22,3.12621,baseball,correct,8,8,1
AMP051,5.684931507,F,4,1,4,dog,1,72255.35,72260.91,4.564278,bowling,correct,8,8,1
AMP051,5.684931507,F,4,1,5,cow,1,72269.01,72273.99,3.974292,castle,correct,8,8,1
AMP051,5.684931507,F,4,1,6,pig,1,72280.57,72284.26,2.685451,tent,correct,8,8,1
AMP051,5.684931507,F,4,1,7,lion,1,72292.46,72297.85,4.396995,barn,correct,8,8,1
AMP051,5.684931507,F,4,1,8,monkey,1,72304.49,72311.21,5.723366,bouncehouse,correct,8,8,1
AMP035,5.528767123,M,1,1,1,dog,1,1350.07,1355.934,4.863633,beach,correct,7,8,0.875
AMP035,5.528767123,M,1,1,2,sheep,1,1364.044,1369.96,4.915924,car,correct,7,8,0.875
AMP035,5.528767123,M,1,1,3,lion,1,1376.563,1381.051,3.487231,grocery,correct,7,8,0.875
AMP035,5.528767123,M,1,1,4,monkey,1,1389.184,1396.995,6.810712,candy,correct,7,8,0.875
AMP035,5.528767123,M,1,1,5,cat,1,1405.129,1413.19,7.059967,library,correct,7,8,0.875
AMP035,5.528767123,M,1,1,6,bear,0,1419.791,1426.414,5.623268,mountain,incorrect2,7,8,0.875
AMP035,5.528767123,M,1,1,7,cow,1,1434.561,1440.207,4.645947,bedroom,correct,7,8,0.875
AMP035,5.528767123,M,1,1,8,pig,1,1448.323,1455.034,5.71102,mountain,correct,7,8,0.875
AMP079,4.690410959,F,2,1,1,cow,0,263821.9,263832.4,9.492182,car,incorrect1,2,8,0.25
AMP079,4.690410959,F,2,1,2,sheep,0,263840,263853.3,12.26602,castle,foil,2,8,0.25
AMP079,4.690410959,F,2,1,3,dog,1,263861,263866.8,4.844007,car,correct,2,8,0.25
AMP079,4.690410959,F,2,1,4,pig,0,263874.4,263883.4,8.012465,bowling,foil,2,8,0.25
AMP079,4.690410959,F,2,1,5,monkey,0,263891.2,263898.3,6.153905,pool,incorrect2,2,8,0.25
AMP079,4.690410959,F,2,1,6,lion,1,263906.1,263911.1,4.044488,street,correct,2,8,0.25
AMP079,4.690410959,F,2,1,7,cat,0,263917.3,263926.5,8.271441,beach,incorrect2,2,8,0.25
AMP079,4.690410959,F,2,1,8,bear,0,263934.3,263943.9,8.55342,bouncehouse,foil,2,8,0.25
AMP137,4.690410959,F,3,1,1,sheep,1,265619.4,265628.5,8.047087,bowling,correct,8,8,1
AMP137,4.690410959,F,3,1,2,lion,1,265636.6,265640.9,3.352618,movie,correct,8,8,1
AMP137,4.690410959,F,3,1,3,pig,1,265649.1,265659.1,9.050052,baseball,correct,8,8,1
AMP137,4.690410959,F,3,1,4,bear,1,265667.3,265672.7,4.412739,castle,correct,8,8,1
AMP137,4.690410959,F,3,1,5,cat,1,265679.4,265685.9,5.483012,museum,correct,8,8,1
AMP137,4.690410959,F,3,1,6,cow,1,265694,265701.8,6.833893,basketball,correct,8,8,1
AMP137,4.690410959,F,3,1,7,dog,1,265710,265714.3,3.293076,bouncehouse,correct,8,8,1
AMP137,4.690410959,F,3,1,8,monkey,1,265722.5,265728.4,4.88835,subway,correct,8,8,1
AMP055,4.331506849,M,4,1,1,dog,1,4329.932,4338.049,7.116733,bowling,correct,5,8,0.625
AMP055,4.331506849,M,4,1,2,pig,1,4344.681,4350.791,5.11008,tent,correct,5,8,0.625
AMP055,4.331506849,M,4,1,3,sheep,1,4358.932,4367.502,7.570299,basketball,correct,5,8,0.625
AMP055,4.331506849,M,4,1,4,cow,0,4375.644,4381.011,4.367491,museum,incorrect2,5,8,0.625
AMP055,4.331506849,M,4,1,5,monkey,1,4389.183,4394.604,4.420144,bouncehouse,correct,5,8,0.625
AMP055,4.331506849,M,4,1,6,lion,0,4402.897,4419.304,15.40645,castle,incorrect1,5,8,0.625
AMP055,4.331506849,M,4,1,7,cat,1,4427.421,4442.019,13.59773,baseball,correct,5,8,0.625
AMP055,4.331506849,M,4,1,8,bear,0,4450.186,4474.241,23.05429,castle,incorrect2,5,8,0.625
